,col
0,"Activision Blizzard, Inc. Common Stock"
1,Adobe Inc. Common Stock
2,"Advanced Micro Devices, Inc. Common Stock"
3,"Airbnb, Inc. Class A Common Stock"
4,"Align Technology, Inc. Common Stock"
5,Alphabet Inc. Class C Capital Stock
6,Alphabet Inc. Class A Common Stock
7,"Amazon.com, Inc. Common Stock"
8,"American Electric Power Company, Inc. Common Stock"
9,Amgen Inc. Common Stock
10,"Analog Devices, Inc. Common Stock"
11,"ANSYS, Inc. Common Stock"
12,Apple Inc. Common Stock
13,"Applied Materials, Inc. Common Stock"
14,ASML Holding N.V. New York Registry Shares
15,Atlassian Corporation Plc Class A Ordinary Shares
16,"Autodesk, Inc. Common Stock"
17,"Automatic Data Processing, Inc. Common Stock"
18,"Baidu, Inc. ADS"
19,Biogen Inc. Common Stock
20,Booking Holdings Inc. Common Stock
21,Broadcom Inc. Common Stock
22,"Cadence Design Systems, Inc. Common Stock"
23,"Charter Communications, Inc. Class A Common Stock New"
24,Cintas Corporation Common Stock
25,"Cisco Systems, Inc. Common Stock (DE)"
26,Cognizant Technology Solutions Corporation Class A Common Stock
27,Comcast Corporation Class A Common Stock
28,"Copart, Inc. (DE) Common Stock"
29,Costco Wholesale Corporation Common Stock
30,"CrowdStrike Holdings, Inc. Class A Common Stock"
31,CSX Corporation Common Stock
32,"Datadog, Inc. Class A Common Stock"
33,"DexCom, Inc. Common Stock"
34,"DocuSign, Inc. Common Stock"
35,Dollar Tree Inc. Common Stock
36,eBay Inc. Common Stock
37,Electronic Arts Inc. Common Stock
38,Exelon Corporation Common Stock
39,Fastenal Company Common Stock
40,"Fiserv, Inc. Common Stock"
41,"Fortinet, Inc. Common Stock"
42,"Gilead Sciences, Inc. Common Stock"
43,Honeywell International Inc. Common Stock
44,"IDEXX Laboratories, Inc. Common Stock"
45,"Illumina, Inc. Common Stock"
46,Intel Corporation Common Stock
47,Intuit Inc. Common Stock
48,"Intuitive Surgical, Inc. Common Stock"
49,"JD.com, Inc. American Depositary Shares"
50,Keurig Dr Pepper Inc. Common Stock
51,KLA Corporation Common Stock
52,Lam Research Corporation Common Stock
53,"Lucid Group, Inc. Common Stock"
54,lululemon athletica inc. Common Stock
55,Marriott International Class A Common Stock
56,"Marvell Technology, Inc. Common Stock"
57,"Match Group, Inc. Common Stock"
58,"MercadoLibre, Inc. Common Stock"
59,"Meta Platforms, Inc. Class A Common Stock"
60,Microchip Technology Incorporated Common Stock
61,"Micron Technology, Inc. Common Stock"
62,Microsoft Corporation Common Stock
63,"Moderna, Inc. Common Stock"
64,"Mondelez International, Inc. Class A Common Stock"
65,Monster Beverage Corporation
66,"NetEase, Inc. American Depositary Shares"
67,"Netflix, Inc. Common Stock"
68,NVIDIA Corporation Common Stock
69,NXP Semiconductors N.V. Common Stock
70,"O'Reilly Automotive, Inc. Common Stock"
71,"Okta, Inc. Class A Common Stock"
72,"Old Dominion Freight Line, Inc. Common Stock"
73,PACCAR Inc. Common Stock
74,"Palo Alto Networks, Inc. Common Stock"
75,"Paychex, Inc. Common Stock"
76,"PayPal Holdings, Inc. Common Stock"
77,"PepsiCo, Inc. Common Stock"
78,Pinduoduo Inc. American Depositary Shares
79,QUALCOMM Incorporated Common Stock
80,"Regeneron Pharmaceuticals, Inc. Common Stock"
81,"Ross Stores, Inc. Common Stock"
82,Seagen Inc. Common Stock
83,Sirius XM Holdings Inc. Common Stock
84,"Skyworks Solutions, Inc. Common Stock"
85,Splunk Inc. Common Stock
86,Starbucks Corporation Common Stock
87,"Synopsys, Inc. Common Stock"
88,"T-Mobile US, Inc. Common Stock"
89,"Tesla, Inc. Common Stock"
90,Texas Instruments Incorporated Common Stock
91,The Kraft Heinz Company Common Stock
92,"VeriSign, Inc. Common Stock"
93,"Verisk Analytics, Inc. Common Stock"
94,Vertex Pharmaceuticals Incorporated Common Stock
95,"Walgreens Boots Alliance, Inc. Common Stock"
96,"Workday, Inc. Class A Common Stock"
97,Xcel Energy Inc. Common Stock
98,"Xilinx, Inc. Common Stock"
99,"Zoom Video Communications, Inc. Class A Common Stock"
100,"Zscaler, Inc. Common Stock"
